"lexical_class","uni_lemma","valence","arousal","dominance"
"function_words","how much",4.11,4.9,3.67
"verbs","hug",8.23,4.85,6.8
"adjectives","hungry",3.54,5.6,4.59
"verbs","hungry",3.54,5.6,4.59
"verbs","hurry",4.32,5.62,4.56
"adjectives","hurt",2.45,4.72,3.73
"verbs","hurt",2.45,4.72,3.73
"function_words","i",NA,NA,NA
"nouns","ice",6.06,3.3,4.89
"nouns","ice cream",6.85,3.95,6.12
"nouns","icicle",NA,NA,NA
"function_words","if",NA,NA,NA
"function_words","in",NA,NA,NA
"function_words","in front",NA,NA,NA
"adverbs","in no way",NA,NA,NA
"function_words","in order to",NA,NA,NA
"function_words","inside",NA,NA,NA
"function_words","into",NA,NA,NA
"verbs","invite",5.68,5.1,6.95
"nouns","iron",5.03,3.24,5.51
"function_words","is",NA,NA,NA
"function_words","it",NA,NA,NA
"nouns","jacket",5.86,3.35,6.89
"nouns","jam",5.81,3.95,5.89
"nouns","jar",5.71,2.77,5.26
"nouns","jeans",5.47,3.95,6.26
"nouns","jeep",5.53,4.05,5
"nouns","jello",NA,NA,NA
"nouns","jelly",5.9,3.63,5.68
"nouns","juice",6.9,4.6,5.74
"verbs","jump",6.44,5.14,5.72
"nouns","kangaroo",6.45,4.27,5.37
"nouns","keys",6.22,3.9,6.75
"verbs","kick",4.55,5.1,5.1
"nouns","kid (goat)",5.3,2.94,5.17
"nouns","kindergarten",6.62,3.09,6.17
"other","kindergarten",6.62,3.09,6.17
"other","kiss",7.78,6.05,6.52
"verbs","kiss",7.78,6.05,6.52
"nouns","kitchen",6.17,3.52,5.89
"nouns","kitty",7.58,3.19,6.67
"nouns","kiwi",6.11,3.65,5.5
"nouns","knee",4.7,4.25,5.38
"nouns","knife",4.33,4.86,5.29
"verbs","knock",5.44,3.95,5.11
"other","knock knock",5.44,3.95,5.11
"nouns","ladder",5.32,4.09,5.56
"other","lady",6.91,4.05,5.87
"nouns","ladybug",6.9,3.45,5.33
"other","lah lah",NA,NA,NA
"other","lake",7.13,2.64,5.36
"nouns","lamb",6.3,3.32,5.72
"nouns","lamp",5.74,2.71,6.04
"adjectives","last",NA,NA,NA
"other","late",3.32,5.57,4.22
"other","later",NA,NA,NA
"verbs","laugh",7.56,6.62,7.39
"nouns","lawn",6.05,2.62,6.04
"nouns","lawn mower",NA,NA,NA
"nouns","leaf",6.16,3.05,5.54
"verbs","leave",4.68,4.48,5.47
"nouns","leg",6.22,2.75,5.5
"function_words","lemme/let me",NA,NA,NA
"nouns","lemon",6.37,4.52,5.43
"other","let",5.95,2.71,6.06
"other","let's",NA,NA,NA
"verbs","lick",6.38,6.2,5.97
"verbs","lie",2.39,4.81,4.72
"verbs","lift",5.32,4.9,6.84
"nouns","light",6.55,3.52,5.89
"verbs","light (action)",6.55,3.52,5.89
"verbs","like",7.44,4.4,6.28
"other","like this",5.86,3.43,5.8
"nouns","lion",5.84,5.29,4.86
"nouns","lips",NA,NA,NA
"verbs","listen",6.91,3.76,5.56
"function_words","little (amount)",5.91,4.2,5.18
"other","little (amount)",5.91,4.2,5.18
"adjectives","little (description)",5.91,4.2,5.18
"nouns","living room",5.55,3.1,5.71
"verbs","lock",4.56,3,4.11
"nouns","locomotive",5.95,5.5,5.23
"nouns","lollipop",7.29,3.88,6.1
"adjectives","long",NA,NA,NA
"verbs","look",5.95,3.76,5.88
"other","look at me",5.95,3.76,5.88
"verbs","look for",5.56,3.85,5
"adjectives","loud",5.65,6.6,5.57
"adverbs","loudly",NA,NA,NA
"verbs","love",8,5.36,5.92
"function_words","low",4.39,2.21,3.11
"verbs","lower",NA,NA,NA
"other","lullaby",7.57,3.79,6.05
"other","lunch",6.64,3.57,6.44
"other","lunchtime",7.26,4.95,6.7
"adjectives","mad",2.47,5.59,4.9
"other","mailman",5.32,3.32,4.82
"verbs","make",6.09,3.67,6.22
"other","man",5.42,4.36,5.44
"adjectives","many",5.64,4.33,5.61
"function_words","many",NA,NA,NA
"nouns","marker",5.8,4.05,5.48
"other","market",6.21,3.55,5.77
"function_words","me",NA,NA,NA
"nouns","meat",6.62,4.3,5.58
"nouns","meatball",6.68,4.79,5.38
"nouns","medicine",5.9,4,5.35
"nouns","melon",6.32,3.68,5.79
"other","meow",6.14,3.42,5.75
"nouns","milk",6.74,2.33,6.31
"function_words","mine",NA,NA,NA
"nouns","mirror",5.9,4.55,5.5
"nouns","mittens",5.6,2.33,5.91
"nouns","mold",2.71,3.77,4.5
"other","moment",6.1,4.05,6
"other","mommy",7.39,3.7,4.89
"nouns","money",7.1,6.86,6.32
"nouns","monkey",5.82,5.15,5.74
"other","moo",5.48,3.95,5.18
"nouns","moon",7,3.43,6.11
"nouns","moose",6.71,4.85,4.97
"nouns","mop",4.53,3.14,5.32
"function_words","more",NA,NA,NA
"other","morning",6.41,3.95,6.35
"nouns","mosquito",3.12,5.17,3.88
"other","mother's name",NA,NA,NA
"nouns","motorcycle",5.8,5.8,5.55
"nouns","mouse",4.8,3.38,4.29
"nouns","moustache",5.35,3.23,5.32
"nouns","mouth",5.59,4.14,6
"other","movie",7.24,4.39,5.68
"function_words","much",5.64,4.33,5.61
"other","much",5.64,4.33,5.61
"nouns","mud",5.06,3.19,4.27
"nouns","muffin",7.1,4.05,6.29
"nouns","mushrooms",NA,NA,NA
"nouns","music",7.67,5.57,6.5
"other","music",7.67,5.57,6.5
"function_words","my",NA,NA,NA
"function_words","myself",NA,NA,NA
"nouns","nail",4.6,3.05,5.17
"nouns","nails",5.57,3.5,4.73
"adjectives","naked",6.21,5.58,5.6
"verbs","name",5.62,3.04,5.14
"other","nap",6.53,4.14,5.91
"nouns","napkin",5.63,3.09,5.21
"adjectives","naughty",6.04,6.95,5.76
"function_words","near",NA,NA,NA
"nouns","neck",5.44,3.65,5.17
"nouns","necklace",6.85,3.52,5.64
"other","need",5.45,3.67,5.06
"function_words","need/need to",NA,NA,NA
"other","neigh",6.05,4.16,5.71
"other","neighbor",5.6,3.72,5.12
"adjectives","new",7.68,5.14,5.22
"function_words","next to",NA,NA,NA
"adjectives","nice",6.95,3.53,6.47
"other","night",6.68,3.57,5.22
"nouns","nightgown",5.85,3.35,5.67
"other","no",2.84,4.9,5.45
"other","no more",6.5,2.57,7.17
"function_words","no one",NA,NA,NA
"adjectives","noisy",3.21,5.15,4.42
"function_words","none",NA,NA,NA
"other","none",NA,NA,NA
"nouns","noodles",6.48,3.09,5.48
"nouns","nose",5.5,3.1,4.61
"function_words","not",NA,NA,NA
"other","not/none",NA,NA,NA
"function_words","nothing",NA,NA,NA
"other","now",NA,NA,NA
"other","nurse",5.41,4.64,5.58
"nouns","nuts",NA,NA,NA
"function_words","of",NA,NA,NA
"function_words","off",NA,NA,NA
"other","oh",NA,NA,NA
"other","oink",5.21,3.73,4.62
"other","ok",NA,NA,NA
"adjectives","old",3.19,4.48,4.22
"nouns","olive",6.05,3.92,5.18
"function_words","on",NA,NA,NA
"function_words","on top of",NA,NA,NA
"function_words","one",6.09,2.67,5.56
"other","one two three",5.89,2.3,5.17
"nouns","onion",5.37,4.95,4.78
"other","opa",NA,NA,NA
"verbs","open",6.14,4.43,6.17
"adjectives","open (description)",6.14,4.43,6.17
"verbs","opened",6.14,4.43,6.17
"function_words","or",NA,NA,NA
"function_words","or else",NA,NA,NA
"adjectives","orange (description)",6.81,4.04,5.58
"nouns","orange (food)",6.81,4.04,5.58
"function_words","other",5.41,3.48,6
"other","ouch",2.45,4.72,3.73
"function_words","our",NA,NA,NA
"function_words","ours",NA,NA,NA
