"iconicity","babiness","uni_lemma","lexical_class"
-1,3.8,"pretend","verbs"
3.73684,2.17647,"rip","verbs"
2.61538,3.54545,"shake","verbs"
-0.444444,3.85714,"share","verbs"
0.866667,5.83333,"sit","verbs"
1.41667,2.07143,"skate","verbs"
NA,NA,"slide (action)","verbs"
1.91667,7.0625,"spill","verbs"
1.5,2.5,"stand","verbs"
0.833333,3.2,"stay","verbs"
3.23529,1.6875,"sweep","verbs"
0.214286,5.09091,"talk","verbs"
1.14286,4.33333,"taste","verbs"
0.555556,7.4,"tear","verbs"
0.363636,2.7,"think","verbs"
-0.5,4.3,"wait","verbs"
-0.181818,5.41176,"wake","verbs"
2.18182,3.91667,"wish","verbs"
NA,NA,"work (action)","verbs"
2.1,6.2,"awake","adjectives"
-0.1,2.4,"better","adjectives"
1.19048,2.5,"black","adjectives"
0.571429,4.1,"brown","adjectives"
1.3,3.8,"first","adjectives"
1.78571,3.36364,"full","adjectives"
1.1,2,"green","adjectives"
1.1,3.66667,"heavy","adjectives"
2.63636,3.08333,"high","adjectives"
0.615385,1.5,"last","adjectives"
0.0909091,1.93333,"long","adjectives"
1.2,6.5,"loud","adjectives"
0.733333,3.3,"mad","adjectives"
-0.285714,7.41667,"new","adjectives"
1.4,8.36364,"noisy","adjectives"
NA,NA,"orange (description)","adjectives"
-1.2,1.36364,"poor","adjectives"
1,3.3,"quiet","adjectives"
1.76923,2.1,"sad","adjectives"
1.63636,3.13333,"slow","adjectives"
2.92857,5.91667,"sticky","adjectives"
1.58333,2.4,"stuck","adjectives"
3.36364,8,"tiny","adjectives"
0.5,3.72727,"white","adjectives"
3.4,1.6,"windy","adjectives"
0.5,2.53846,"yellow","adjectives"
0.75,2.14286,"after","other"
-0.5,2.35294,"before","other"
-0.7,4.3,"time","other"
0.733333,2.0625,"yesterday","other"
1.05882,6.33333,"he","function_words"
1.21429,4.45455,"hers","function_words"
0.583333,4.33333,"him","function_words"
NA,NA,"myself","function_words"
-0.909091,5.45455,"our","function_words"
0.714286,4.58824,"she","function_words"
-1,2.7,"their","function_words"
-0.692308,4.1,"them","function_words"
-0.214286,2.09091,"these","function_words"
0.454545,2.90909,"they","function_words"
0.272727,2.81818,"those","function_words"
-0.769231,4.91667,"us","function_words"
1.42857,2.46154,"we","function_words"
0.333333,4.23529,"yourself","function_words"
0.0909091,1.21429,"which (question)","function_words"
-0.1,2.4,"about","function_words"
1.0625,2.41667,"above","function_words"
0.6,2.90909,"around","function_words"
-0.166667,2,"at","function_words"
1.54545,3.05,"behind","function_words"
NA,NA,"beside","function_words"
0.272727,2.08333,"by","function_words"
-1.4,2.33333,"for","function_words"
-0.2,1.2,"here","function_words"
-0.823529,2.36364,"into","function_words"
NA,NA,"next to","function_words"
0.230769,2.63636,"of","function_words"
NA,NA,"on top of","function_words"
0.8,2.70588,"over","function_words"
-0.416667,2.5,"to","function_words"
1.16667,3.81818,"with","function_words"
0.461538,3.45455,"a","function_words"
NA,NA,"a lot","function_words"
-0.3125,2.5,"any","function_words"
0.666667,3,"each","function_words"
0.25,3.2,"every","function_words"
0.416667,3.36364,"much","function_words"
0.428571,2,"the","function_words"
1,2,"too","function_words"
0.583333,1.83333,"am","function_words"
-0.9,2,"are","function_words"
0.384615,2.23529,"be","function_words"
NA,NA,"can (auxiliary)","function_words"
-1.45455,2.27273,"could","function_words"
0.466667,2.73333,"did/did ya","function_words"
0.846154,2.85,"do","function_words"
-0.6,2.36364,"does","function_words"
NA,NA,"don't","function_words"
-0.4,2.75,"gonna/going to","function_words"
0,3.2,"gotta/got to","function_words"
-0.266667,3.75,"hafta/have to","function_words"
-0.142857,2.66667,"is","function_words"
-0.9,2.46667,"lemme/let me","function_words"
NA,NA,"need/need to","function_words"
-0.294118,3.8,"try/try to","function_words"
0.333333,4.54545,"wanna/want to","function_words"
-0.833333,3.18182,"was","function_words"
0.6,2.47059,"were","function_words"
0.214286,1.81818,"will","function_words"
-2.1,1.18182,"would","function_words"
0.5625,1.66667,"and","function_words"
0.214286,2,"because","function_words"
0,1.2,"but","function_words"
0.636364,1.35714,"if","function_words"
0.909091,1.8,"so","function_words"
0.1875,2.3,"then","function_words"
