word,mean,median,var,count
whoa,0.169860020929,0.191534282758,0.162595334381,11
moment,0.170016917435,0.219743140544,0.222876777662,21
fine,0.170310188009,0.0218200339418,0.27749242278,23
where's,0.170351634072,0.145586039214,0.127460685793,23
happened,0.170774687419,0.235865554834,0.10039965245,23
spoil,0.171610735084,0.298943913997,0.339835752179,13
dear,0.171624349538,0.0750548810396,0.196442123305,23
goodness,0.172524899655,0.0412882178982,0.219248063132,21
saying,0.174217088274,0.147027565062,0.250004448627,23
properly,0.174274787193,0.190684936847,0.365423865604,18
ever,0.174864033674,0.0922641361247,0.366054593985,23
finished,0.175178327702,0.193471840545,0.232921136583,23
heck,0.17556572902,-0.0721277459841,0.403218424107,8
rest,0.177287755225,0.12666395315,0.304030353176,23
making,0.178257354087,0.170213689083,0.182699624478,23
best,0.178617539765,0.125852124351,0.264779935499,23
pardon,0.178708358309,0.20257617576,0.169928995856,18
recording,0.17902025059,0.200506705395,0.278459329434,8
mommy's,0.181863948368,0.224831627979,0.236287837407,10
boy,0.182974456692,0.186012612337,0.261113093251,23
wanted,0.183531224057,0.104686255704,0.17102998828,23
new,0.18367208927,0.219113550831,0.22657229032,23
apart,0.184172967386,0.00571182295925,0.467592468185,23
shame,0.190713693648,0.286634076376,0.127040755741,16
talking,0.191123952066,0.102096678684,0.317784625506,23
where're,0.19283333665,0.262427221218,0.239442257244,17
far,0.195843149771,0.0803316240744,0.332925411415,23
maybe,0.196595404556,0.252473779274,0.21464116989,22
head,0.201060331253,0.0780652301062,0.165261141806,23
awoh,0.203191756951,0.230466828727,0.0671655623829,5
nearly,0.204807507684,0.314679099667,0.340024250938,16
excuse,0.204970220571,0.132263980026,0.318834187415,23
got_to,0.205225460926,0.260050589753,0.305297546645,23
until,0.207457193928,0.0912911001141,0.275886031488,23
whatever,0.208010122429,0.0666067972765,0.291368723118,22
xxx,0.210525709385,0.227130323003,0.158570160201,23
bothering,0.211547971288,0.201349638794,0.305862610386,14
meant,0.212892002447,0.268667197602,0.253793050491,23
same,0.213174703616,0.258151138932,0.33565422114,23
company,0.213178977942,0.0394165865394,0.277025582174,13
ahead,0.213351696001,0.141957963244,0.308849708743,15
asking,0.2147547933,0.253170414434,0.331833568753,20
easier,0.216663817944,0.1323732014,0.331531118345,23
daddy'll,0.21850119445,0.342498883528,0.28735343227,14
bet,0.218873868321,0.25203813484,0.213851101973,23
talked,0.22187421439,0.283814901972,0.303713759795,15
hold,0.223195684552,0.0924298776172,0.206997385166,23
used,0.22437271168,0.233837900118,0.255508361663,23
whoopsie,0.225327344865,0.00777444594624,0.39239668681,7
what've,0.227713125469,0.256635649828,0.19198935964,14
