item,frequency
müde,0.000257162977464
supermarkt,2.00552985743e-05
nass,0.000208233738389
land,6.38640358856e-05
mantel,1.2659018249e-05
sollst,0.00380993778448
gehen,0.00097943819846
winzig,1.74950476925e-05
waschen,0.00022345300752
nase,0.000332405906157
