item,probability,frequency
uggla,0.000280595262808,8.58965090227e-05
falla,0.000280595262808,0.000233352182845
man,0.00647365283759,0.00646943873789
ballong,0.000211343502186,0.000211878055589
öppna,0.000280595262808,0.000488178492946
blåsa,0.000280595262808,0.000183245885915
morgon,3.0660801985e-07,5.72643393485e-06
hår,0.000238564324132,0.00023907861678
glass,0.000558053687732,0.000558327308648
i,0.0116084340192,0.0116003235435
äta,0.00136179516683,0.00136145966801
björn,0.000437707616822,0.000438072196016
ko,8.95690239615e-05,9.01913344738e-05
varför,0.000371803915497,0.000372218205765
morfar,0.000280595262808,7.15804241856e-06
stänga,0.000280595262808,0.000323543517319
mamma,0.000280595262808,0.00257832687917
kött,7.95411578147e-05,8.01700750879e-05
bada,0.000280595262808,0.000947724816217
fönster,0.000280595262808,4.72430799625e-05
se,0.00323002998698,0.00322827713077
